Database Name: Student Records
Authors: P1-08

Table Name: StudentRecords-1000
ID	Name	Programme	Mark
2500616	Yi Xuan	Software Engineering	85.04
2500617	Yi Xuan	CS	64.84
2500618	Joshua Chen	Software Engineering	78.64
2500619	Shaun Lee	CS	62.03
2500620	Alicia Tan	Software Engineering	51.95
2500621	Nicole Chua	CS	52.94
2500622	Chee Seng	Software Engineering	63.03
2500623	Syafiq Hassan	CS	83.03
2500624	Megan Toh	Software Engineering	71.47
2500625	Alicia Tan	CS	87.15
2500626	Darren Tan	Computer Science	71.22
2500627	Wei Ning	Digital Supply Chain	10.70
2500628	Rachel Goh	CS	9.98
2500629	Xiao Ling	Digital Supply Chain	84.08
2500630	Isaac Teo	Computer Science	56.11
2500631	Felix Tan	Computer Science	72.77
2500632	Megan Toh	CS	26.44
2500633	Zi Hao	CS	6.64
2500634	Benjamin Koh	Digital Supply Chain	32.04
2500635	Amirah Binte Rahman	Digital Supply Chain	39.54
2500636	Nurul Aisyah	Software Engineering	11.27
2500637	Marcus Yeo	Software Engineering	89.88
2500638	Rachel Goh	CS	59.89
2500639	Yi Xuan	Computer Science	43.53
2500640	Megan Toh	Digital Supply Chain	45.15
2500641	Daniel Ong	Digital Supply Chain	24.22
2500642	Megan Toh	Digital Supply Chain	89.23
2500643	Joshua Chen	Digital Supply Chain	2.02
2500644	Clara Lim	Digital Supply Chain	50.18
2500645	Daniel Ong	Computer Science	81.88
2500646	Hui Min	Computer Science	32.40
2500647	Felix Tan	Digital Supply Chain	33.40
2500648	Terence Goh	Software Engineering	8.40
2500649	Daniel Ong	CS	45.32
2500650	Benjamin Koh	CS	14.53
2500651	Chee Seng	CS	43.83
2500652	Nicole Chua	Software Engineering	86.62
2500653	Yi Xuan	Digital Supply Chain	68.29
2500654	Clara Lim	Computer Science	16.97
2500655	Jia Wei	Software Engineering	72.60
2500656	Hui Min	Computer Science	91.99
2500657	Jia Wei	Digital Supply Chain	82.64
2500658	Felix Tan	Computer Science	98.70
2500659	Zi Hao	Computer Science	7.96
2500660	Amirah Binte Rahman	Computer Science	83.92
2500661	Xin Rui	Software Engineering	4.55
2500662	Nicole Chua	CS	19.12
2500663	Felix Tan	Digital Supply Chain	95.33
2500664	Geraldine Ng	Computer Science	40.47
2500665	Marcus Yeo	Digital Supply Chain	41.47
2500666	Megan Toh	Digital Supply Chain	7.26
2500667	Jia Wei	Computer Science	4.62
2500668	Syafiq Hassan	Software Engineering	69.90
2500669	Felix Tan	Computer Science	54.37
2500670	Hui Min	Digital Supply Chain	54.71
2500671	Harith Zulkifli	Digital Supply Chain	36.25
2500672	Rachel Goh	Software Engineering	91.40
2500673	Nurul Aisyah	CS	69.60
2500674	Geraldine Ng	Digital Supply Chain	11.44
2500675	Megan Toh	CS	43.28
2500676	Harith Zulkifli	CS	37.26
2500677	Benjamin Koh	CS	83.82
2500678	Isaac Teo	Software Engineering	36.41
2500679	Xiao Ling	Digital Supply Chain	36.17
2500680	Nurul Aisyah	Software Engineering	62.10
2500681	Clara Lim	Digital Supply Chain	6.51
2500682	Clara Lim	CS	96.28
2500683	Terence Goh	Computer Science	67.87
2500684	Felix Tan	Digital Supply Chain	92.68
2500685	Marcus Yeo	CS	13.18
2500686	Benjamin Koh	Software Engineering	10.97
2500687	Felix Tan	CS	19.64
2500688	Clara Lim	Digital Supply Chain	10.73
2500689	Amirah Binte Rahman	Software Engineering	93.49
2500690	Xiao Ling	Digital Supply Chain	36.96
2500691	Darren Tan	Software Engineering	56.95
2500692	Chee Seng	Computer Science	21.92
2500693	Darren Tan	CS	81.11
2500694	Hui Min	Software Engineering	71.60
2500695	Felix Tan	CS	98.72
2500696	Benjamin Koh	Computer Science	63.12
2500697	Marcus Yeo	CS	70.50
2500698	Felix Tan	CS	87.43
2500699	Darren Tan	Digital Supply Chain	92.25
2500700	Chee Seng	Software Engineering	62.02
2500701	Isaac Teo	Software Engineering	15.93
2500702	Joshua Chen	Software Engineering	84.65
2500703	Isaac Teo	Computer Science	0.68
2500704	Xin Rui	Digital Supply Chain	41.20
2500705	Yi Xuan	Computer Science	97.99
2500706	Hui Min	Digital Supply Chain	41.71
2500707	Syafiq Hassan	Computer Science	22.97
2500708	Alicia Tan	CS	1.15
2500709	Benjamin Koh	Software Engineering	82.62
2500710	Nurul Aisyah	Digital Supply Chain	64.59
2500711	Evelyn Soh	CS	16.51
2500712	Terence Goh	CS	76.32
2500713	Wei Ning	Digital Supply Chain	50.83
2500714	Megan Toh	CS	16.23
2500715	Geraldine Ng	Software Engineering	65.90
2500716	Isaac Teo	Digital Supply Chain	4.54
2500717	Geraldine Ng	Digital Supply Chain	62.37
2500718	Marcus Yeo	CS	2.10
2500719	Sarah Lim	Digital Supply Chain	16.27
2500720	Syafiq Hassan	CS	63.17
2500721	Xiao Ling	Computer Science	10.80
2500722	Marcus Yeo	Digital Supply Chain	5.74
2500723	Wei Ning	Software Engineering	93.13
2500724	Xin Rui	Digital Supply Chain	55.17
2500725	Darren Tan	Computer Science	75.47
2500726	Felix Tan	Software Engineering	86.41
2500727	Darren Tan	CS	31.34
2500728	Geraldine Ng	Computer Science	68.24
2500729	Syafiq Hassan	Computer Science	75.47
2500730	Megan Toh	Computer Science	2.66
2500731	Syafiq Hassan	Software Engineering	26.58
2500732	Shaun Lee	CS	48.25
2500733	Daniel Ong	Software Engineering	3.64
2500734	Shaun Lee	Software Engineering	7.54
2500735	Evelyn Soh	Software Engineering	88.94
2500736	Isaac Teo	Software Engineering	45.96
2500737	Nurul Aisyah	Software Engineering	21.11
2500738	Marcus Yeo	Digital Supply Chain	49.12
2500739	Sarah Lim	Computer Science	25.54
2500740	Hui Min	Computer Science	40.89
2500741	Sarah Lim	Software Engineering	61.87
2500742	Geraldine Ng	Computer Science	53.53
2500743	Isaac Teo	CS	66.59
2500744	Daniel Ong	Computer Science	38.50
2500745	Hui Min	Software Engineering	34.10
2500746	Benjamin Koh	Digital Supply Chain	70.27
2500747	Marcus Yeo	Computer Science	60.18
2500748	Alicia Tan	CS	98.59
2500749	Amirah Binte Rahman	CS	21.10
2500750	Joshua Chen	Software Engineering	86.11
2500751	Darren Tan	CS	0.38
2500752	Daniel Ong	CS	48.28
2500753	Megan Toh	CS	33.66
2500754	Joshua Chen	Digital Supply Chain	77.87
2500755	Zhi Yuan	Software Engineering	25.09
2500756	Shaun Lee	Computer Science	22.09
2500757	Harith Zulkifli	Software Engineering	13.18
2500758	Rachel Goh	Digital Supply Chain	51.04
2500759	Marcus Yeo	Software Engineering	36.42
2500760	Geraldine Ng	CS	29.10
2500761	Marcus Yeo	CS	0.82
2500762	Geraldine Ng	CS	89.75
2500763	Shaun Lee	CS	6.66
2500764	Benjamin Koh	Digital Supply Chain	3.31
2500765	Nicole Chua	Software Engineering	22.22
2500766	Geraldine Ng	CS	92.49
2500767	Yi Xuan	Software Engineering	15.59
2500768	Hui Min	Digital Supply Chain	97.66
2500769	Amirah Binte Rahman	Computer Science	93.54
2500770	Syafiq Hassan	Computer Science	24.63
2500771	Hui Min	Computer Science	89.51
2500772	Daniel Ong	CS	38.42
2500773	Evelyn Soh	Software Engineering	65.59
2500774	Terence Goh	Digital Supply Chain	61.44
2500775	Amirah Binte Rahman	CS	36.16
2500776	Amirah Binte Rahman	Software Engineering	41.22
2500777	Wei Ning	Software Engineering	85.68
2500778	Evelyn Soh	Software Engineering	92.11
2500779	Evelyn Soh	Digital Supply Chain	70.72
2500780	Terence Goh	Digital Supply Chain	72.73
2500781	Benjamin Koh	Digital Supply Chain	38.06
2500782	Harith Zulkifli	Digital Supply Chain	85.96
2500783	Nicole Chua	Software Engineering	48.90
2500784	Xiao Ling	Digital Supply Chain	17.35
2500785	Evelyn Soh	Digital Supply Chain	72.32
2500786	Benjamin Koh	Software Engineering	32.07
2500787	Rachel Goh	Software Engineering	95.75
2500788	Amirah Binte Rahman	CS	23.22
2500789	Joshua Chen	CS	54.79
2500790	Alicia Tan	Computer Science	21.81
2500791	Clara Lim	Digital Supply Chain	82.80
2500792	Isaac Teo	Software Engineering	42.30
2500793	Terence Goh	Software Engineering	48.66
2500794	Zi Hao	Digital Supply Chain	77.20
2500795	Isaac Teo	CS	54.11
2500796	Clara Lim	Computer Science	56.64
2500797	Felix Tan	CS	55.90
2500798	Felix Tan	Computer Science	69.89
2500799	Rachel Goh	Computer Science	33.37
2500800	Sarah Lim	Digital Supply Chain	83.61
2500801	Zhi Yuan	Software Engineering	47.51
2500802	Chee Seng	Computer Science	19.15
2500803	Jia Wei	Digital Supply Chain	37.15
2500804	Isaac Teo	Computer Science	25.98
2500805	Hui Min	CS	97.62
2500806	Nurul Aisyah	Digital Supply Chain	2.00
2500807	Evelyn Soh	Computer Science	11.58
2500808	Benjamin Koh	Software Engineering	66.29
2500809	Isaac Teo	Computer Science	42.51
2500810	Hui Min	Digital Supply Chain	78.05
2500811	Xin Rui	Digital Supply Chain	85.65
2500812	Sarah Lim	Computer Science	66.22
2500813	Rachel Goh	Computer Science	27.08
2500814	Syafiq Hassan	Computer Science	38.88
2500815	Megan Toh	Software Engineering	34.54
2500816	Benjamin Koh	Computer Science	29.70
2500817	Alicia Tan	Software Engineering	40.21
2500818	Harith Zulkifli	CS	36.87
2500819	Joshua Chen	Computer Science	14.68
2500820	Harith Zulkifli	CS	73.53
2500821	Syafiq Hassan	Software Engineering	57.52
2500822	Benjamin Koh	Digital Supply Chain	38.59
2500823	Evelyn Soh	Software Engineering	41.05
2500824	Geraldine Ng	CS	79.72
2500825	Terence Goh	Software Engineering	53.82
2500826	Felix Tan	Software Engineering	48.73
2500827	Geraldine Ng	Software Engineering	91.29
2500828	Rachel Goh	Software Engineering	47.35
2500829	Nicole Chua	Software Engineering	83.98
2500830	Yi Xuan	Digital Supply Chain	92.96
2500831	Xin Rui	Computer Science	14.97
2500832	Yi Xuan	Digital Supply Chain	33.38
2500833	Yi Xuan	Digital Supply Chain	21.93
2500834	Hui Min	Computer Science	18.22
2500835	Zi Hao	Software Engineering	41.10
2500836	Amirah Binte Rahman	Computer Science	38.18
2500837	Alicia Tan	Digital Supply Chain	37.79
2500838	Felix Tan	Software Engineering	58.17
2500839	Marcus Yeo	CS	93.38
2500840	Shaun Lee	Computer Science	71.62
2500841	Joshua Chen	Software Engineering	91.71
2500842	Terence Goh	Computer Science	58.57
2500843	Nurul Aisyah	Digital Supply Chain	77.85
2500844	Jia Wei	CS	84.13
2500845	Chee Seng	Computer Science	70.71
2500846	Xiao Ling	Digital Supply Chain	5.63
2500847	Joshua Chen	Digital Supply Chain	69.80
2500848	Daniel Ong	CS	13.35
2500849	Amirah Binte Rahman	CS	32.64
2500850	Syafiq Hassan	Computer Science	22.53
2500851	Zhi Yuan	Digital Supply Chain	13.72
2500852	Geraldine Ng	Computer Science	7.72
2500853	Xin Rui	Digital Supply Chain	68.72
2500854	Geraldine Ng	Computer Science	3.32
2500855	Daniel Ong	Software Engineering	84.59
2500856	Geraldine Ng	Digital Supply Chain	20.16
2500857	Terence Goh	Computer Science	44.35
2500858	Nurul Aisyah	Software Engineering	12.58
2500859	Evelyn Soh	CS	66.03
2500860	Xin Rui	Computer Science	6.31
2500861	Amirah Binte Rahman	Software Engineering	37.36
2500862	Marcus Yeo	CS	27.64
2500863	Chee Seng	CS	76.55
2500864	Marcus Yeo	Computer Science	34.96
2500865	Joshua Chen	Software Engineering	37.11
2500866	Jia Wei	Digital Supply Chain	29.60
2500867	Wei Ning	Digital Supply Chain	39.21
2500868	Joshua Chen	Computer Science	97.15
2500869	Yi Xuan	Digital Supply Chain	21.48
2500870	Isaac Teo	Computer Science	56.96
2500871	Zhi Yuan	Computer Science	9.86
2500872	Joshua Chen	CS	3.70
2500873	Felix Tan	Computer Science	80.51
2500874	Terence Goh	Digital Supply Chain	33.20
2500875	Chee Seng	Software Engineering	54.78
2500876	Terence Goh	Computer Science	9.07
2500877	Hui Min	CS	47.37
2500878	Terence Goh	Computer Science	78.32
2500879	Zhi Yuan	CS	98.02
2500880	Isaac Teo	Computer Science	18.32
2500881	Yi Xuan	CS	9.42
2500882	Amirah Binte Rahman	CS	50.31
2500883	Clara Lim	Digital Supply Chain	23.77
2500884	Zi Hao	CS	51.66
2500885	Joshua Chen	Digital Supply Chain	66.88
2500886	Syafiq Hassan	Digital Supply Chain	46.43
2500887	Syafiq Hassan	Computer Science	1.61
2500888	Nurul Aisyah	Digital Supply Chain	36.18
2500889	Clara Lim	CS	6.66
2500890	Evelyn Soh	Computer Science	9.95
2500891	Harith Zulkifli	Software Engineering	92.06
2500892	Chee Seng	Digital Supply Chain	29.44
2500893	Chee Seng	Computer Science	13.43
2500894	Isaac Teo	CS	68.39
2500895	Sarah Lim	CS	35.55
2500896	Amirah Binte Rahman	CS	8.52
2500897	Xin Rui	Digital Supply Chain	49.94
2500898	Nurul Aisyah	Computer Science	21.01
2500899	Darren Tan	Digital Supply Chain	30.38
2500900	Rachel Goh	Digital Supply Chain	50.93
2500901	Megan Toh	CS	44.18
2500902	Yi Xuan	CS	56.43
2500903	Xiao Ling	Software Engineering	36.04
2500904	Felix Tan	CS	17.11
2500905	Xin Rui	Software Engineering	15.81
2500906	Yi Xuan	Software Engineering	33.08
2500907	Amirah Binte Rahman	Software Engineering	15.51
2500908	Isaac Teo	Computer Science	24.12
2500909	Alicia Tan	Computer Science	30.86
2500910	Zi Hao	Software Engineering	47.53
2500911	Daniel Ong	CS	74.66
2500912	Felix Tan	CS	40.52
2500913	Xin Rui	CS	57.83
2500914	Sarah Lim	Computer Science	52.43
2500915	Marcus Yeo	Computer Science	34.07
2500916	Darren Tan	Digital Supply Chain	65.42
2500917	Chee Seng	Software Engineering	54.34
2500918	Geraldine Ng	Computer Science	27.62
2500919	Daniel Ong	Computer Science	75.77
2500920	Isaac Teo	Digital Supply Chain	81.85
2500921	Felix Tan	Computer Science	48.55
2500922	Benjamin Koh	Software Engineering	98.53
2500923	Yi Xuan	Digital Supply Chain	41.17
2500924	Hui Min	Computer Science	46.50
2500925	Benjamin Koh	Computer Science	85.00
2500926	Syafiq Hassan	Digital Supply Chain	26.15
2500927	Felix Tan	Digital Supply Chain	32.02
2500928	Chee Seng	Computer Science	29.08
2500929	Geraldine Ng	Software Engineering	70.24
2500930	Marcus Yeo	CS	85.87
2500931	Syafiq Hassan	Computer Science	11.53
2500932	Xiao Ling	Software Engineering	18.62
2500933	Nurul Aisyah	Digital Supply Chain	87.10
2500934	Benjamin Koh	Digital Supply Chain	11.16
2500935	Alicia Tan	CS	16.47
2500936	Daniel Ong	Software Engineering	32.94
2500937	Yi Xuan	Digital Supply Chain	98.66
2500938	Zhi Yuan	Software Engineering	37.65
2500939	Daniel Ong	Computer Science	37.89
2500940	Yi Xuan	Software Engineering	41.22
2500941	Marcus Yeo	Digital Supply Chain	63.47
2500942	Shaun Lee	Software Engineering	78.08
2500943	Wei Ning	Digital Supply Chain	77.45
2500944	Geraldine Ng	CS	43.70
2500945	Hui Min	CS	58.43
2500946	Clara Lim	Computer Science	68.20
2500947	Yi Xuan	Digital Supply Chain	87.55
2500948	Jia Wei	Software Engineering	37.11
2500949	Jia Wei	Computer Science	74.26
2500950	Zhi Yuan	Computer Science	29.93
2500951	Benjamin Koh	Digital Supply Chain	23.98
2500952	Syafiq Hassan	CS	13.21
2500953	Terence Goh	Software Engineering	16.79
2500954	Yi Xuan	CS	40.00
2500955	Joshua Chen	Computer Science	97.25
2500956	Harith Zulkifli	CS	93.54
2500957	Joshua Chen	Computer Science	56.99
2500958	Chee Seng	CS	82.77
2500959	Shaun Lee	Software Engineering	80.04
2500960	Daniel Ong	Computer Science	17.91
2500961	Zi Hao	Computer Science	17.70
2500962	Sarah Lim	Digital Supply Chain	78.46
2500963	Megan Toh	Digital Supply Chain	64.11
2500964	Marcus Yeo	Computer Science	22.63
2500965	Jia Wei	CS	40.14
2500966	Harith Zulkifli	Computer Science	81.78
2500967	Evelyn Soh	CS	60.83
2500968	Hui Min	Digital Supply Chain	88.26
2500969	Chee Seng	Computer Science	62.85
2500970	Clara Lim	CS	75.06
2500971	Xin Rui	Computer Science	75.81
2500972	Syafiq Hassan	Digital Supply Chain	26.58
2500973	Benjamin Koh	CS	76.87
2500974	Harith Zulkifli	CS	53.11
2500975	Shaun Lee	Computer Science	62.86
2500976	Clara Lim	CS	48.83
2500977	Xin Rui	CS	11.70
2500978	Zi Hao	CS	78.62
2500979	Benjamin Koh	Digital Supply Chain	81.87
2500980	Terence Goh	Computer Science	98.46
2500981	Wei Ning	Digital Supply Chain	47.71
2500982	Megan Toh	Computer Science	21.48
2500983	Hui Min	Computer Science	90.96
2500984	Xiao Ling	Software Engineering	26.23
2500985	Nurul Aisyah	Software Engineering	61.97
2500986	Chee Seng	Computer Science	45.83
2500987	Rachel Goh	Software Engineering	43.45
2500988	Alicia Tan	Digital Supply Chain	36.86
2500989	Shaun Lee	CS	4.29
2500990	Chee Seng	Computer Science	65.74
2500991	Nicole Chua	Digital Supply Chain	83.06
2500992	Clara Lim	Digital Supply Chain	39.75
2500993	Zhi Yuan	Digital Supply Chain	28.11
2500994	Joshua Chen	Software Engineering	78.37
2500995	Syafiq Hassan	Computer Science	68.69
2500996	Nicole Chua	Digital Supply Chain	80.61
2500997	Zi Hao	Software Engineering	89.86
2500998	Xiao Ling	Computer Science	22.09
2500999	Jia Wei	Software Engineering	65.30
